epoch,Train classes accuracy,Train classes precision,Train classes recall,Validation classes accuracy,Validation classes precision,Validation classes recall,Train confidence accuracy,Train confidence precision,Train confidence recall,Validation confidence accuracy,Validation confidence precision,Validation confidence recall,Validation confidence loss,Validation bounding box loss,Validation classes loss,Validation bounding box iou,Train confidence loss,Train bounding box loss,Train classes loss,Train bounding box iou
0,0.09997647612326512,0.18458197611292074,0.1790604592374131,0.09900990099009901,0.18619934282584885,0.17453798767967146,0.30392156862745096,0.46616541353383456,0.46616541353383456,0.3023255813953488,0.4642857142857143,0.4642857142857143,2.6482859708581654,2.7360200132642474,2.3102916143054055,0.002632737352327067,2.6162884019943604,2.7421203147934143,2.3057517402143364,0.0025713408242417387
1,0.1200535057407201,0.27672147995889,0.17495126705653022,0.11030640668523677,0.258148631029987,0.16150081566068517,0.3041750819455021,0.46646356943386647,0.46646356943386647,0.30278884462151395,0.4648318042813456,0.4648318042813456,2.5660752859569733,2.4147127555665517,2.2789415847687495,0.004946813044526997,2.5407577379640327,2.417999437056392,2.2437396825078024,0.00485727625915848
2,0.12200823778247802,0.28631138975966564,0.17533194688849785,0.11266034578918015,0.26474442988204455,0.16396103896103897,0.30452048447944935,0.46686960933536276,0.46686960933536276,0.30220966938029575,0.46414901760653227,0.46414901760653227,2.6005710550716947,2.2163238221123107,2.2658119469597224,0.005269755567229974,2.5474722471581885,2.227175597684929,2.217642265630056,0.005023871651564512
3,0.12298164122981642,0.2927856766719326,0.1749528005034613,0.11042600896860987,0.2694938440492476,0.1576,0.3052332308506066,0.4677068031001469,0.4677068031001469,0.3026730865017433,0.4646953861840428,0.4646953861840428,2.501929313228244,2.1329296118872505,2.26493641104017,0.006261300073459833,2.4530160082391945,2.140805304768574,2.2010357308100503,0.006745303031449846
4,0.1277552363197719,0.2992550732083226,0.18228759192614613,0.11048794167134043,0.2662162162162162,0.1588709677419355,0.3057610993657505,0.46832624974701476,0.46832624974701476,0.3034825870646766,0.46564885496183206,0.46564885496183206,2.4615219608942667,2.11565026873634,2.2665759238742647,0.0039823469904340094,2.386413571346237,2.1124292913689673,2.190908633082746,0.0032760760258092173
5,0.12757292239955972,0.2992512264394526,0.18191806623763931,0.10980392156862745,0.26666666666666666,0.15730337078651685,0.3055316899081356,0.4680571023590159,0.4680571023590159,0.3026730865017433,0.4646953861840428,0.4646953861840428,2.4912042846566154,2.0976253682091124,2.262073021389189,0.000715784144343897,2.3707975149154663,2.0980515853468193,2.180368808378656,0.000823385465970117
6,0.1287280701754386,0.30033256587362495,0.18386844166014096,0.1120976692563818,0.2693333333333333,0.16108452950558214,0.3069972960495944,0.4697749520637804,0.4697749520637804,0.30359807660421156,0.465784787585856,0.465784787585856,2.4720861464455015,2.0808866437276206,2.2733173428262985,0.0007520804821424896,2.3218297814748374,2.0780994834670103,2.174510892615261,0.001018280997337263
7,0.13119055428009183,0.3091190108191654,0.18561484918793503,0.11450806003335186,0.276510067114094,0.1634920634920635,0.30752248838511975,0.47038959729852325,0.47038959729852325,0.30429021036938875,0.4665989331978664,0.4665989331978664,2.4062591658319747,2.07491065343221,2.2730820804550533,0.000686942971522166,2.2289130687713623,2.0721869468688965,2.165440335331193,0.0010736252180180029
8,0.13412378984009574,0.30855855855855857,0.1917573872472784,0.11061201572150477,0.2658569500674764,0.15925626515763944,0.3071572215079287,0.4699621689785624,0.4699621689785624,0.3039443155452436,0.46619217081850534,0.46619217081850534,2.4149411031178065,2.0726837187721614,2.271394881293887,0.0013943768508311006,2.1907684752740058,2.0703915371952286,2.15842538569347,0.0012711317919956308
9,0.13277873811581678,0.3050384710846364,0.19036555142503098,0.10776102735901731,0.2587131367292225,0.15589660743134087,0.30795574288724975,0.47089627391742195,0.47089627391742195,0.30417495029821073,0.46646341463414637,0.46646341463414637,2.4392733923026495,2.0699356437864758,2.2695182652700514,0.0012378471974460851,2.1401465348450532,2.064523064946554,2.155822368989508,0.0014526833073027063
